learning_outcome,n,mean,sd,r,p,bis,subject
E50811,7740,0.371365809536116,0.483201215600144,0.343119391117066,0.371365809536116,0.343119391117066,English
E50812,7738,0.304381543233812,0.460174737742083,0.00711174801924425,0.304381543233812,0.00711174801924425,English
E50813,7738,0.361768127181078,0.480543229858344,0.366397325141589,0.361768127181078,0.366397325141589,English
E50814,7736,0.363542340012928,0.481050126483473,0.298202583199937,0.363542340012928,0.298202583199937,English
E50815,7740,0.615583408709136,0.48648849651175,0.389723775293021,0.615583408709136,0.389723775293021,English
E50816,7731,0.521733505821475,0.499559745498265,0.357271388541565,0.521733505821475,0.357271388541565,English
E50817,7728,0.590526724472628,0.491768451317838,0.405371393735591,0.590526724472628,0.405371393735591,English
E50818,7715,0.557298418459943,0.496738239309615,0.399748228626355,0.557298418459943,0.399748228626355,English
E50819,7734,0.443553601448338,0.49683571245664,0.414515081275256,0.443553601448338,0.414515081275256,English
E50820,7731,0.502846054333765,0.50002424404991,0.375521832895101,0.502846054333765,0.375521832895101,English
EVS40136,7739,0.542188913296291,0.498249108040925,0.466658978280351,0.542188913296291,0.466658978280351,EVS
EVS40231,7738,0.625565464650381,0.484007843363037,0.388571624474758,0.625565464650381,0.388571624474758,EVS
EVS40437,7737,0.517513248028952,0.499725487581411,0.433755004132487,0.517513248028952,0.433755004132487,EVS
EVS40835,7738,0.642626340959028,0.479257147831554,0.512560050646466,0.642626340959028,0.512560050646466,EVS
EVS40932,7738,0.320408427038904,0.466663705614514,0.21038685507116,0.320408427038904,0.21038685507116,EVS
EVS50444,7733,0.430363377731799,0.495159011664394,0.300656456912196,0.430363377731799,0.300656456912196,EVS
EVS50539,7738,0.37779501098617,0.484867328905598,0.153815364112104,0.37779501098617,0.153815364112104,EVS
EVS50541,7736,0.400258564964447,0.489982330928836,0.282674356325773,0.400258564964447,0.282674356325773,EVS
EVS50542,7736,0.40530058177117,0.490981858559058,0.30778713524123,0.40530058177117,0.30778713524123,EVS
EVS50543,7735,0.487716576157228,0.499881412903988,0.306595948940196,0.487716576157228,0.306595948940196,EVS
EVS50545,7723,0.371228797099573,0.483164780340895,0.199172119663086,0.371228797099573,0.199172119663086,EVS
EVS50740,7737,0.289296794208893,0.453465257859288,0.279322878657203,0.289296794208893,0.279322878657203,EVS
EVS50833,7738,0.565593899444229,0.495710803417294,0.475631950085493,0.565593899444229,0.475631950085493,EVS
EVS50934,7738,0.574253586661497,0.494487622283295,0.503705374346619,0.574253586661497,0.503705374346619,EVS
EVS51338,7737,0.513765025203567,0.49984279131643,0.451378723566731,0.513765025203567,0.451378723566731,EVS
M40421,7739,0.620912498384387,0.485191296637904,0.41801147972428,0.620912498384387,0.41801147972428,Math
M41222,7737,0.443309631544926,0.496807922020699,0.256634008848357,0.443309631544926,0.256634008848357,Math
M41323,7736,0.354150504266874,0.478286005185302,0.395143690256672,0.354150504266874,0.395143690256672,Math
M42024,7736,0.452417895009051,0.497762975205824,0.392627500710342,0.452417895009051,0.392627500710342,Math
M50225,7734,0.493662700465598,0.49999217072163,0.4055280255273,0.493662700465598,0.4055280255273,Math
M50426,7720,0.50349831562581,0.500020155804461,0.453423527768303,0.50349831562581,0.453423527768303,Math
M50927,7739,0.366679591572961,0.481929131228673,0.150972138361625,0.366679591572961,0.150972138361625,Math
M51428,7738,0.524431230610134,0.499435039243996,0.375180972117214,0.524431230610134,0.375180972117214,Math
M51529,7737,0.491661279896574,0.499962780170584,0.481412139685095,0.491661279896574,0.481412139685095,Math
M51630,7737,0.42650290885585,0.494600650971699,0.301001072217872,0.42650290885585,0.301001072217872,Math
T4021,7742,0.67312661498708,0.469100848581604,0.379351694010446,0.67312661498708,0.379351694010446,Tamil
T40210,7734,0.66386445938955,0.472416450877356,0.500383604388091,0.66386445938955,0.500383604388091,Tamil
T4022,7742,0.740826873385013,0.438209113066833,0.433619651469674,0.740826873385013,0.433619651469674,Tamil
T4023,7743,0.632347241958403,0.482197308438491,0.446758107647497,0.632347241958403,0.446758107647497,Tamil
T4024,7740,0.440553114499871,0.496485572109246,0.357455466576134,0.440553114499871,0.357455466576134,Tamil
T4025,7742,0.599612403100775,0.490008562072562,0.309436475274371,0.599612403100775,0.309436475274371,Tamil
T4026,7728,0.716412114936578,0.450768339935449,0.42716635605041,0.716412114936578,0.42716635605041,Tamil
T4027,7730,0.735766045548654,0.440952981803387,0.448635717522178,0.735766045548654,0.448635717522178,Tamil
T4028,7712,0.757846952010376,0.428414232519068,0.386160527510803,0.757846952010376,0.386160527510803,Tamil
T4029,7722,0.612694300518135,0.487166026067262,0.455119598746843,0.612694300518135,0.455119598746843,Tamil
